method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.10724976210364169,0.0016887043582477302,0.01574553010771098,0.9107288275952067,202
EquationError-LS,direct,C_L_alpha,2.8998636697251476,0.02630143900808237,0.009069888106351997,0.910728827586362,202
EquationError-LS,direct,C_D0,0.03622832898219935,0.00037773006024446843,0.0104263726993885,0.986322797184546,202
EquationError-LS,direct,k,0.05616358141292758,0.004688344990917123,0.08347660304009695,0.9863227971840927,202
EquationError-LS,direct,C_M0,0.0003405360760143373,3.766609501139078e-06,0.01106082370250985,0.9455134149780157,202
EquationError-LS,direct,C_M_alpha,-0.005131519082616715,5.686657127244244e-05,0.0110818200920427,0.9455134149739886,202
EquationError-LS,direct,C_M_Q,-0.0021718626438315984,2.59853321164342e-05,0.01196453753198264,0.8864236957545524,202
EquationError-LS,direct,C_M_delta_e,0.0006714812593800413,1.3526183278190263e-05,0.020143798638071576,0.5836837911913495,202
EquationError-LS,mocap,C_L0,0.10662266933401478,0.000410416100817816,0.003849238659858659,0.9012948054507142,202
EquationError-LS,mocap,C_L_alpha,2.9359217894520775,0.0008590690649807701,0.0002926062499577333,0.5527400414501361,202
EquationError-LS,mocap,C_D0,0.0,0.0001337550013085147,133755001.30851471,0.7342680194639468,202
EquationError-LS,mocap,k,0.5,0.0005513147174568969,0.0011026294349137937,0.680924836738173,202
EquationError-LS,mocap,C_M0,0.0005624368103219944,1.772079067390954e-07,0.0003150716729184992,0.29412793492744504,202
EquationError-LS,mocap,C_M_alpha,-0.008568050903120078,1.2287477103750614e-05,0.0014341041203753933,0.9012948054627881,202
EquationError-LS,mocap,C_M_Q,-0.0024915115113331673,1.3592556691892162e-05,0.005455546414320601,0.8407721606963048,202
EquationError-LS,mocap,C_M_delta_e,0.000820328169206901,1.2696471496312301e-05,0.015477307707947342,0.5022689309842366,202
